"satisfaction","customer_type","age","travel_type","cabin_class","flight_distance","seat_comfort","time_convenient","food_drink","gate_location","wifi","entertainment","online_support","ease_booking","onboard_service","legroom","baggage","checkin","cleanliness","online_boarding","dep_delay","arr_delay","arr_delay_extra"
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1479,2,3,2,3,4,2,4,4,1,2,3,3,3,4,20,23,2.6655533303476
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",2418,3,1,4,4,4,4,4,4,3,1,4,1,3,4,2,15,12.2848374927317
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco",1747,3,5,3,2,2,3,5,2,4,5,5,4,5,2,7,0,-7.60940810793052
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",1025,3,5,3,5,1,3,1,1,4,2,5,4,5,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",48,"Business travel","Eco",1619,3,1,1,1,3,3,3,3,1,5,1,2,1,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",43,"Personal Travel","Eco",2255,2,4,1,3,4,1,4,4,4,5,4,5,5,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",36,"Business travel","Eco",1923,4,1,3,1,4,3,4,4,4,3,3,2,3,4,0,5,4.24253573299665
"dissatisfied","disloyal Customer",21,"Business travel","Eco",1681,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,-7.60940810793052
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",1699,2,4,2,1,2,2,4,2,3,2,5,4,5,2,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",21,"Business travel","Eco",1805,3,1,3,2,2,3,2,2,1,2,2,4,2,2,15,22,6.55979893100986
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",1692,3,4,3,4,1,3,1,1,3,3,4,4,4,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",28,"Personal Travel","Eco",2750,4,5,4,3,1,4,1,1,5,3,1,1,4,1,113,110,-1.36741484197051
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2211,3,5,4,3,4,4,3,4,1,3,3,3,4,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",30,"Business travel","Eco",1875,2,2,4,4,2,2,2,2,2,1,4,2,3,2,34,18,-16.0383343515067
"dissatisfied","Loyal Customer",67,"Personal Travel","Eco",1383,4,4,3,4,2,5,4,2,2,3,2,3,2,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",1735,1,4,1,4,5,1,5,5,2,2,3,3,4,5,1,0,-1.7363133871358
"dissatisfied","Loyal Customer",22,"Business travel","Eco",2339,4,4,4,4,4,4,4,4,2,2,4,1,4,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",1406,2,4,0,4,4,0,3,4,1,3,4,3,4,4,0,1,0.242535732996651
"dissatisfied","Loyal Customer",39,"Business travel","Eco",1938,3,1,1,1,3,3,3,3,2,2,3,3,4,3,0,9,8.24253573299665
"dissatisfied","disloyal Customer",36,"Business travel","Eco",2279,4,4,4,3,4,4,4,2,1,3,4,4,4,4,215,223,11.7899749045193
"dissatisfied","Loyal Customer",44,"Business travel","Eco",2785,3,5,5,5,3,3,3,3,1,3,3,4,3,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",24,"Business travel","Eco",2784,2,2,2,5,5,2,3,5,5,1,3,4,4,5,23,23,-0.270994030049762
"dissatisfied","Loyal Customer",54,"Personal Travel","Eco",1324,2,5,2,2,1,2,1,1,4,3,2,2,5,1,0,1,0.242535732996651
"dissatisfied","disloyal Customer",8,"Business travel","Eco",1806,1,1,1,3,3,1,3,3,4,5,3,1,4,3,11,9,-2.52480458846033
"dissatisfied","Loyal Customer",57,"Business travel","Eco",762,1,2,2,2,2,4,3,1,1,1,1,3,1,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",49,"Business travel","Eco",1667,1,1,4,1,1,1,1,1,1,3,3,1,2,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",52,"Personal Travel","Eco",1936,2,4,3,1,2,3,2,2,5,5,5,5,5,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2074,2,2,2,4,2,3,3,4,4,4,3,3,3,3,116,146,31.6960377976321
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1310,2,0,2,4,3,2,3,3,5,5,5,4,4,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",39,"Business travel","Eco",1763,1,3,1,3,2,1,2,2,4,4,3,3,4,2,12,0,-12.5036537085928
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",1756,2,0,0,1,0,3,2,4,2,5,5,2,5,2,114,155,42.653736037897
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco",1805,2,0,2,4,5,2,1,5,4,4,4,5,5,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",52,"Personal Travel","Eco",444,4,5,4,5,5,4,4,1,1,4,1,3,1,3,15,10,-5.44020106899014
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",2249,3,4,3,3,2,3,2,2,1,2,3,1,3,2,17,11,-6.39789930925505
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1680,4,3,4,3,1,4,1,1,3,4,4,2,4,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",68,"Business travel","Eco",423,3,4,4,4,4,2,3,3,3,3,3,1,3,1,1,19,17.2636866128642
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco",1660,3,2,2,4,3,2,3,3,4,2,4,3,3,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",2360,2,4,2,3,1,2,1,1,3,2,4,4,4,1,2,0,-2.71516250726825
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",1716,3,5,3,4,5,3,5,5,5,2,5,3,5,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",37,"Business travel","Eco",1752,4,2,2,2,4,4,4,4,2,1,3,3,3,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",1267,4,4,1,4,3,1,3,3,5,5,5,2,2,3,0,11,10.2425357329967
"dissatisfied","Loyal Customer",39,"Business travel","Eco",848,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0,5,4.24253573299665
"dissatisfied","Loyal Customer",60,"Personal Travel","Eco",1816,1,4,1,4,3,1,3,3,2,2,3,2,4,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1784,1,4,1,3,1,1,1,1,3,3,5,4,4,1,74,79,5.80770084319515
"dissatisfied","disloyal Customer",29,"Business travel","Eco",1284,3,4,3,2,4,3,3,4,4,3,2,4,4,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",55,"Personal Travel","Eco",1360,3,4,2,1,1,2,1,1,3,2,4,4,4,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",1016,2,4,2,3,2,2,2,2,5,3,4,4,4,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",63,"Business travel","Eco",1951,1,4,4,4,1,1,1,1,4,1,3,4,4,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",42,"Business travel","Eco",1454,2,3,3,3,3,2,3,3,4,3,3,4,3,3,93,121,29.2095675606785
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",837,4,3,3,2,1,5,4,4,4,3,5,1,4,1,2,0,-2.71516250726825
"dissatisfied","disloyal Customer",29,"Business travel","Eco",2556,1,1,1,3,1,2,2,1,5,3,3,2,3,2,101,210,110.378774599619
"dissatisfied","disloyal Customer",24,"Business travel","Eco",2227,3,3,3,3,1,3,1,1,4,3,3,1,4,1,39,19,-19.932579952169
"dissatisfied","Loyal Customer",15,"Personal Travel","Eco",2115,2,1,2,3,2,4,4,3,4,4,4,4,3,4,254,239,-10.3851407806463
"dissatisfied","disloyal Customer",25,"Business travel","Eco",2062,4,3,4,2,3,4,3,3,2,2,3,4,2,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1741,1,3,1,3,2,1,2,2,3,1,3,2,3,2,10,30,19.4540445316721
"dissatisfied","disloyal Customer",22,"Business travel","Eco",1599,3,0,3,3,4,3,4,4,5,4,4,4,5,4,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",43,"Business travel","Eco",1945,2,4,2,4,4,2,2,4,3,5,4,3,3,4,0,6,5.24253573299665
"dissatisfied","disloyal Customer",27,"Business travel","Eco",2497,2,2,2,3,2,2,2,2,5,3,5,5,5,2,41,60,19.1097218075661
"dissatisfied","Loyal Customer",38,"Business travel","Eco",2977,1,5,5,5,1,2,1,1,2,2,2,4,3,1,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",26,"Business travel","Eco",2770,3,3,3,3,4,3,4,4,2,2,3,3,4,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",1677,4,5,4,5,5,4,3,5,5,2,5,5,1,5,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",45,"Business travel","Eco",1513,1,3,1,3,3,1,5,3,5,4,3,3,3,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",2354,3,5,4,3,3,4,3,3,5,2,5,4,5,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2461,1,4,1,3,1,1,4,1,3,1,4,4,5,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",42,"Business travel","Eco",2180,4,1,4,1,2,2,2,4,4,4,4,1,4,3,40,33,-6.91142907230146
"dissatisfied","Loyal Customer",51,"Business travel","Eco",237,2,5,5,5,1,1,2,2,2,2,2,1,2,1,6,31,24.3694410122019
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",1779,1,4,1,5,4,1,4,4,4,2,4,5,5,4,15,13,-2.44020106899014
"dissatisfied","disloyal Customer",12,"Business travel","Eco",2510,4,4,4,4,3,4,3,3,4,3,4,4,3,3,12,0,-12.5036537085928
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2191,3,5,3,2,2,3,2,2,4,4,4,3,4,2,8,8,-0.588257228062971
"dissatisfied","Loyal Customer",43,"Business travel","Eco",1206,4,4,4,4,4,4,4,4,1,4,2,4,1,4,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",29,"Business travel","Eco",2506,3,3,3,3,2,3,2,2,1,1,3,3,4,2,0,9,8.24253573299665
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2729,2,3,3,2,3,2,3,3,5,1,5,4,1,3,1,0,-1.7363133871358
"dissatisfied","Loyal Customer",55,"Personal Travel","Eco",1602,1,5,1,1,5,1,5,5,4,5,5,3,4,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",39,"Business travel","Eco",1365,3,5,5,5,3,3,3,3,2,1,4,3,3,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",8,"Business travel","Eco",2379,4,4,4,4,3,4,3,3,4,2,4,3,4,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2520,2,2,2,4,1,2,1,1,4,4,4,1,3,1,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",1863,3,4,4,4,5,4,5,5,2,4,1,3,4,5,2,12,9.28483749273174
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",1551,2,3,2,2,2,2,5,2,3,2,1,3,5,2,8,2,-6.58825722806297
"dissatisfied","Loyal Customer",43,"Business travel","Eco",64,3,5,5,5,4,4,4,3,3,3,3,3,3,1,42,55,13.1308726874336
"dissatisfied","Loyal Customer",43,"Business travel","Eco",517,2,3,4,4,2,2,2,2,2,2,2,2,2,2,80,77,-2.06539387759957
"dissatisfied","disloyal Customer",61,"Business travel","Eco",1217,2,0,1,5,3,1,3,3,2,2,4,1,3,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",1381,4,5,4,5,4,4,3,4,4,4,5,5,4,4,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",43,"Business travel","Eco",2219,4,4,4,4,2,4,2,2,3,5,3,4,4,2,0,1,0.242535732996651
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",2554,4,4,4,4,3,4,3,3,3,2,3,1,4,3,20,14,-6.3344466696524
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",1823,2,4,0,2,4,0,2,4,5,3,5,3,2,4,59,59,0.490437645181932
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",2665,3,4,3,4,3,3,3,1,2,4,4,3,4,3,144,173,31.2882624339235
"dissatisfied","disloyal Customer",43,"Business travel","Eco",2551,3,3,3,3,3,2,2,2,5,4,4,2,1,2,8,0,-8.58825722806297
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",1212,3,4,3,1,5,3,2,5,4,2,4,3,5,5,12,20,7.49634629140722
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",1351,4,4,4,5,2,4,2,2,4,4,4,3,4,2,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",25,"Business travel","Eco",2182,1,2,1,4,1,3,3,1,5,4,4,3,2,3,184,170,-10.8657023713746
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",1588,1,5,4,1,3,4,3,3,3,4,1,1,4,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",2602,2,5,2,3,4,2,2,4,3,4,4,5,5,4,5,0,-5.65170986766561
"dissatisfied","Loyal Customer",30,"Personal Travel","Eco",1296,1,5,1,2,3,1,3,3,4,5,5,3,4,3,0,4,3.24253573299665
"dissatisfied","disloyal Customer",33,"Business travel","Eco",2045,3,0,3,4,3,3,3,3,5,2,4,5,2,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",25,"Business travel","Eco",3115,2,2,2,1,5,2,5,5,3,3,5,5,5,5,1,0,-1.7363133871358
"dissatisfied","disloyal Customer",8,"Business travel","Eco",1403,3,3,3,3,3,3,2,3,3,1,4,2,4,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",28,"Business travel","Eco",2455,3,3,3,3,5,3,5,5,1,2,3,2,3,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",2034,1,5,1,1,4,1,4,4,5,3,5,3,5,4,6,0,-6.63055898779807
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",2711,2,2,2,4,2,2,2,2,1,1,4,2,3,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",1122,2,4,2,3,2,2,2,2,3,3,4,5,4,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Business travel","Eco",1748,3,4,4,4,3,3,2,3,3,2,4,4,4,3,44,40,-3.82682555283127
"dissatisfied","Loyal Customer",25,"Personal Travel","Eco",1333,3,4,3,3,3,3,3,3,5,3,4,4,4,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",34,"Personal Travel","Eco",3823,2,0,2,1,2,3,3,2,3,3,5,3,4,3,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",41,"Business travel","Eco",2689,3,1,1,1,3,3,3,3,1,3,4,3,3,3,70,42,-27.276902676275
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1717,1,1,1,4,2,1,2,2,2,5,3,3,4,2,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",49,"Business travel","Eco",2421,3,3,3,3,2,3,2,2,4,3,4,1,3,2,0,13,12.2425357329967
"dissatisfied","Loyal Customer",47,"Personal Travel","Eco",2171,2,3,2,3,1,2,1,1,3,5,4,2,5,1,2,0,-2.71516250726825
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1845,3,4,3,5,2,3,2,2,4,4,4,4,4,2,5,5,-0.651709867665613
"dissatisfied","Loyal Customer",32,"Business travel","Eco",1935,4,3,3,3,4,3,4,4,1,2,3,3,3,4,7,0,-7.60940810793052
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",1698,1,2,1,4,4,1,4,4,4,2,3,4,3,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",67,"Business travel","Eco",1240,3,5,3,3,3,3,3,3,4,5,4,3,3,3,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1897,2,4,1,4,5,1,5,5,1,2,3,5,3,5,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",36,"Business travel","Eco",1599,1,5,5,5,1,1,1,1,4,4,3,3,3,1,17,8,-9.39789930925505
"dissatisfied","Loyal Customer",34,"Business travel","Eco",1500,4,2,2,2,4,4,4,4,3,2,4,2,3,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",48,"Business travel","Eco",311,3,1,1,1,4,3,3,3,3,3,3,4,3,1,38,28,-9.95373083203655
"dissatisfied","Loyal Customer",46,"Business travel","Eco",1708,3,3,3,3,3,3,3,3,1,1,3,3,3,3,89,74,-13.8750359587916
"dissatisfied","disloyal Customer",35,"Business travel","Eco",2367,2,3,2,3,2,3,3,2,4,4,4,3,4,3,162,131,-28.3310217284607
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",2218,1,2,1,2,1,1,1,1,3,5,2,3,3,1,1,0,-1.7363133871358
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",1709,1,5,1,1,2,1,2,2,5,5,5,5,4,2,125,91,-32.1136042835599
"dissatisfied","disloyal Customer",43,"Business travel","Eco",1884,2,4,2,3,4,2,4,4,3,1,4,1,3,4,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",66,"Personal Travel","Eco",2157,3,5,3,1,5,3,5,5,3,4,5,4,5,5,31,16,-15.1017869911094
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1608,3,4,3,3,2,3,2,2,5,4,2,3,2,2,0,0,-0.757464267003349
"dissatisfied","Loyal Customer",51,"Business travel","Eco",1487,2,1,1,1,2,4,4,2,2,2,2,4,2,3,2,0,-2.71516250726825
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",1475,3,4,3,1,2,3,2,2,5,1,3,3,4,2,0,0,-0.757464267003349
"dissatisfied","disloyal Customer",30,"Business travel","Eco",1841,3,3,3,3,2,3,2,2,4,3,4,1,3,2,29,2,-27.1440887508445
